market_id,market_name,company_market_row_count,rev_q11_weighted,rev_q10_weighted,rev_q9_weighted,rev_q8_weighted,rev_q7_weighted,rev_q6_weighted,rev_q5_weighted,rev_q4_weighted,rev_q3_weighted,rev_q2_weighted,rev_q1_weighted,rev_q0_weighted
MKT0001,Memory Semiconductors,14,33021.9331325,33441.2896685,37324.082983,41065.808863,43442.0331535,48232.582496,54091.304961,49526.1871065,49759.1895245,57393.881653,64122.220849000005,83312.6917635
MKT0002,Semiconductor Manufacturing Equipment,19,20096.8788575,19142.7129375,20433.6137925,18978.4939725,19409.166335,21304.9020475,23056.1898075,22785.4736475,23314.3380425,23939.260902500002,23957.8557025,26560.7062125
MKT0003,Container Shipping,13,59887.0793,55676.46756,52862.59209,56374.26921,56416.28727,57760.69102,67650.13403,63543.96363,60401.48717,62758.13602,67556.22877,68261.55893
MKT0004,Tire Manufacturing,13,35217.7166935,34583.6839015,34323.207694000004,36527.775299,29856.8827265,29786.670722,31668.9171185,30946.533825,29525.3489415,31358.8390635,31420.0535455,32210.6839235
MKT0005,Flat-Rolled Steel,17,67774.805267,67332.1924415,66327.5971055,64345.152342500005,65257.848973,61859.481739999996,61688.426378,57398.152272,59105.9817325,54637.6520605,62956.4007395,60344.5220555
MKT0006,Rebar and Structural Steel,12,24395.3467255,24327.005696,23168.155647,21976.3869775,22826.0670095,21860.1171625,21663.2075545,19834.6635105,21542.858285,22009.7292095,23559.395408,22237.0111795
MKT0007,Oil and Gas Exploration and Production,31,216150.13772600002,207378.6324185,221381.306461,217066.021486,214580.0663635,213731.0042745,210827.540964,200312.769083,218931.3347925,205645.21004900002,209283.2416485,204308.2364355
